question,answer
Am I At Risk For Diabetes?,"Are age 45 or older, Are overweight,Are African American, Hispanic, Asian American or Pacific Islander, or American Indian, Have a parent, brother, or sister with diabetes, Have high blood pressure, Have low HDL (good cholesterol) and high levels of blood fats, Had diabetes when pregnant, or gave birth to a large baby (over 9 pounds),Are physically active less than three times a week"
How Do I Know If I Have Diabetes?,"
You may have one or more of the warning signs listed on the next page, or you may have no signs at all. Talk to your health care provider about getting a blood test to check your glucose levels to know if you have diabetes or pre-diabetes (a condition where blood glucose levels are higher than normal, but not high enough for a diagnosis of diabetes)."
What Can I Do To Control Or Prevent Diabetes?,"
Managing diabetes requires effort every day to eat healthy foods, be physically active, take diabetes medicine as prescribed, and test blood glucose levels. You can take steps to prevent or slow down other health problems diabetes can cause over the years by keeping your blood glucose, blood pressure, and cholesterol under control. If you have diabetes, work with your health care provider to create a plan for managing your health."
What Should My Blood Sugar Be When I Wake Up (fasting) And Before Meals? What About After?,"
For most people with diabetes, the American Diabetes Association recommends a fasting or before-meals blood glucose (or blood sugar) goal of 70–130 mg/dl. One to two hours after eating, a postprandial blood sugar reading at or under 180 mg/dl is recommended."
 How Can I Get Motivated To Take Care Of Myself?,"
Taking care of diabetes and getting through your daily to-do list along with your other responsibilities is demanding. It’s easy to understand why motivation waxes and wanes. BJ Fogg, director of the Persuasive Technology Lab at Stanford University and a leading expert on human behavior change, offers some tips to help get started."
Should I Always Carry Glucose Tablets?,"Your risk for hypoglycemia depends on the category of blood glucose-lowering medication(s) you take, not your type of diabetes. Some medications can cause hypoglycemia, including insulin; those in the sulfonylurea category, such as glyburide (Diabeta, Glynase, Micronase), glipizide (Glucotrol), and glimepiride (Amaryl); and those in the glinide category, such as repaglinide (Prandin) and nateglinide (Starlix). If you take one of these medications, always carry treatment. Most of the commonly used blood glucose-lowering medications for type 2 diabetes don’t cause hypoglycemia."
Can I Get Rid Of Diabetes? Will It Ever Go Away?,"Once you are diagnosed with type 1 or type 2 diabetes, you have it for the rest of your life. To stay healthy, keep your blood sugar, blood pressure, and cholesterol under good control. To do so, eat healthy, be physically active, and take your prescribed medications. Also get the tests and checks you need to detect complications early and treat them aggressively."
What Are The Best Foods To Eat Before And After Exercising?,"
Foods that contain carbohydrate are quick and easy to digest for energy. “Eat foods like bread, crackers, pretzels, dry cereal, 100 percent fruit juice, or sports drink with calories,” says Gary Scheiner, CDE, an exercise physiologist and owner of Integrated Diabetes Services near Philadelphia. But if weight loss is a goal and you aren’t at risk of hypoglycemia, just drink water—ditto for after exercise. Unless your workout was particularly exhausting or lasted several hours, you don’t need food. People who take insulin and are physically active should consult their health care provider about how to adjust insulin dosages."
Can I Drink Alcohol?,"Yes, adults with diabetes can drink alcohol and should follow the same guidelines as the general public—an average of up to one drink per day for women and up to two drinks per day for men, with no more than three or four drinks in any single day for women and men, respectively. “Research shows moderate alcohol consumption has minimal short- or long-term effects on glucose levels in people with type 1 or 2 diabetes,” says Marion Franz, RD, CDE, owner of Nutrition Concepts by Franz in Minneapolis."
ill Insulin Make Me Gain Weight?,"The reason we need insulin—as a hormone made in our bodies or as a medication—is to push glucose into cells for energy. Insulin’s job is to process calories. For this reason, it can—but doesn’t have to—cause weight gain. To prevent weight gain: Practice portion control. Burn extra calories with exercise. If your blood sugar has been high for a while prior to starting insulin, you’ve likely been excreting calories in your urine instead of fueling your body. This won’t happen once your blood sugar is under control. If you experience hypoglycemia (low blood sugar), treat it with just 15 grams of carb."
