question,answer
What can I eat with type 1 diabetes?,"You can eat just about anything and everything. It’s about learning to balance meals and finding foods that are healthy for you.” As processed foods tend to increase blood sugar more rapidly, it’s best to avoid them, or at least try to limit consumption. Work with a registered dietitian or doctor to develop an eating plan that works for you."
Can I drink alcohol?,"Yes, but in moderation. The American Heart Association defines healthy alcohol consumption as one drink per day for women and two drinks per day for men. Make sure to have some carbohydrate to eat before or while you drink, as alcohol may cause low blood glucose."
Will I need other medication in addition to insulin?,"In short, maybe. Although most type 1 diabetes can be managed with insulin, a healthy diet, exercise, and regular blood glucose testing, some people will need additional treatment. You may also need other medications if you’re managing other conditions in addition to diabetes. For example, since type 1 diabetes increases your risk for heart disease, your doctor may prescribe additional medication if you have high cholesterol or high blood pressure. They may also recommend daily aspirin to protect against heart attack and improve circulation."
What can I do if I don’t experience the warning symptoms of low blood sugar (hypoglycemia unawareness)?,"Low blood sugar, or hypoglycemia, affects different people differently. While there are common symptoms — weakness, fatigue, tingling in the fingers — not everyone with type 1 diabetes will experience them, according to Diabetes UK. This is especially true for people who have had the condition for a long time. More frequent blood sugar testing, or the use of an insulin pump or continuous glucose monitor can help. You should also work with your healthcare team, who may adjust your blood sugar targets to help avoid episodes of low blood sugar, notes the ADA."
"How should I adjust insulin doses before, during, and after exercise?","It depends on your activity level and types of activities you’re doing, the ADA says. Aerobic exercise like jogging or bike riding can lower blood sugar, while anaerobic workouts like weight training can increase it. Work with your care team to develop an exercise plan and insulin regimen that works for you, and expect some trial and error. Using a continuous glucose monitor during exercise can help you determine how exercise affects you, and provide a guide for insulin dosing. In addition to adjusting your insulin, your care team can help you adjust your carb intake before and after exercise to maintain healthy blood glucose levels."
Will I pass type 1 diabetes onto my children?,"It’s possible. While the exact causes of type 1 diabetes are still unknown, according to the American Diabetes Association, genetics do play a role, particularly when both parents have it. It’s important to note that while the lifestyle choices you make, like what you eat or how often you exercise, can affect your blood glucose with type 1 diabetes, there are a lot of other factors as well, like stress and poor sleep"
"If my father has type 2 diabetes, does that mean that I am more likely to get it also?","You may have the genetic foundation for developing diabetes, but it is not inevitable.  What you hopefully have learned is that lifestyle and food management are so important to staying in good health. Stay active, eat unrefined foods as much as possible, and manage stress levels.  These are the first ingredients to a healthier life."
In the past three days my husband’s breath has smelled strongly acidic. Is this related to his diabetes?,"If his glucose levels have been elevated, he could be breaking down fat for fuel at a rapid rate.  This produces ketones, which can produce fruity or acidic breath.  You can purchased ketone strips at the pharmacy to test urine for the presence of ketones. If this persists and if his glucose stays elevated in spite of any efforts on his part for correction, have him see his physician.   "
My 12 year old daughter has been diagnosed with pre-diabetes from a blood test. Is that always type 2?,"Those diagnosed with type 2 diabetes will still produce insulin. A fasting level 126 or greater taken twice is considered a diagnosis of diabetes.  Pre-diabetes is generally 100-125, but you will see different ranges for what is considered normal with some thinking that 80 is an ideal fasting level. A 12-yr old girl will fluctuate with menses onset and because she is still growing.  Developing healthy eating/lifestyle habits now is most important."
How do I find out whether I am type 1 or type 2 diabetes? ,"There are tests that can determine levels of natural insulin production. If you are truly type 1, you require insulin in order to live, usually via daily injections. With type 2, some people take insulin to help get glucose levels under control, but by adopting a more healthy lifestyle with diet/exercise, levels can begin to come under better control and insulin/medication may not required."
I read that people with diabetes should not use heating pads. Why not?,This recommendation is more of a caution for those who have neuropathy and may not feel if the pad gets too hot and could be burned as a result.
Do I need to fast before having an A1C test?,"No, fasting is not required for an A1C because the test measures your average blood glucose levels over the past three months. "
What is an A1C test?,"The A1C test higher your A1C level is, the poorer your blood sugar control and the higher your risk of diabetes complications."
Is diabetes causing me to be tired and sleepy after eating?,"Elevated blood sugar levels send a signal to the brain to release serotonin, a hormone that is both calming and sleep inducing.  If a meal is high in carbs, that converts to sugar more quickly, elevating levels that may already be high and causing even more sleepiness. Eating more unrefined foods and walking will be a step toward better control and alertness.  "
Can my A1C be high if my fasting readings are lower than 130?,"If you have never been tested for a 3 hour glucose tolerance test, showing how you react at 1, 2, and 3 hour intervals. It may be that you spike higher during those times, accounting for higher A1C. You can also start testing your glucose one hour after meals to see how high you rise, especially on those “bad” days. Track your food intake during that time to see what foods may be spiking you the most."
What is ketoacidosis and what are the symptoms?,"Ketoacidosis is the build-up of ketones (a by-product of rapid fat breakdown in the body) and can be life-threatening if left untreated.  This would generally not occur unless glucose levels were very elevated over a longer period where the cells, needing fuel, rapidly break down fat to help keep you alive.  At that point, one may be in a diabetic coma.  In pregnancy, it is important for good control to prevent ketoacidosis so ketone bodies do not form, as they can cross the placenta and be toxic to the fetus.  Symptoms may include fruity smelling breath, high blood sugar, excessive thirst, frequent urination, nausea and vomiting.  If concerned, you can buy strips at the pharmacy to test urine for the presence of ketones."
