question,answer
What should my blood sugar be when I wake up (fasting) and before meals? What about after?,"For most people with diabetes, the American Diabetes Association recommends a fasting or before-meals blood glucose (or blood sugar) goal of 70–130 mg/dl. One to two hours after eating, a postprandial blood sugar reading at or under 180 mg/dl is recommended."
Does a diagnosis of type 2 diabetes mean I will have to go on insulin?,"No. People with type 2 diabetes may or may not ever need to take insulin injections, depending on several factors, including the timing of diagnosis. Research indicates that if type 2 diabetes is treated early and blood sugar is controlled initially and over the years, the pancreas is more likely to produce enough insulin longer. But a person who lives with type 2 upward of 15 years is unlikely to continue to make sufficient insulin and will need to take it via syringe, pen, or pump."
I was recently diagnosed with type 2 diabetes. Do I need to see an endocrinologist?,"""While diabetes is an endocrine disease and falls under the specialty of an endocrinologist, there are only 3,000 of us in the U.S. who treat diabetes,"" says Nicholas Argento, M.D., an endocrinologist with Maryland Endocrine near Baltimore who has type 1 diabetes. Do the math: 25 million people have diabetes; there are not nearly enough endocrinologists. ""Most people with type 2 diabetes, especially in the early years, can partner with a primary care provider who takes an active interest in their diabetes,"" Argento says. Make sure your doctor keeps up-to-date and provides you with care in sync with current guidelines. Be active in your care and ask questions."
Can I get rid of type 2 diabetes if I stop eating carbs and/or lose a lot of weight?,"No, but you can control it. If you have prediabetes or were just diagnosed with type 2, losing a lot of weight can put the condition into remission. Weight regain, aging, and the natural progression of type 2 diabetes can bring it back. ""Not eating carbohydrate or severely restricting it is nearly impossible for any length of time. It's also not healthy, because you won't get essential nutrients,"" says JoJo Dantone, RD, CDE, a diabetes program coordinator in New Orleans."
Why is it OK to eat fruit when it's full of carbohydrate? Are some fruits better to eat than others? ,"The calories in all fruits (fresh, frozen, dried, and canned without added sugar) are mainly carbohydrate with a bit of protein. People with diabetes need to eat a certain amount of carbs every day for energy and essential nutrients. Healthy sources of carbs include fruits, as well as vegetables, whole grains, legumes (beans), and low-fat dairy foods."
How can I learn to accept my diabetes?,"Accepting that you have diabetes is largely an act of cognition-a realignment of what you view as real and vital to your existence and how it can impact your life. Diabetes becomes an integral part of a person's life. ""While we all wish it would simply go away, this isn't possible-yet,"" says David Marrero, Ph.D., who has diabetes and is the director of the Diabetes Translational Research Center at the Indiana University School of Medicine. Marrero's advice: Accept that diabetes will, for the rest of your life, be there. And it's a very treatable disease, which places few restrictions on you if you follow treatment recommendations."
My husband has type 2 diabetes and is a truck driver. What foods can he take on the road?," ""Preplanning and having healthy snacks at the ready are keys to helping you eat healthy on the road,"" says Lisa Brown, RD, CDE, of BrownFox Solutions in Minneapolis and chair of the Academy of Nutrition and Dietetics Diabetes Care and Education practice group. Brown suggests fresh fruit, small containers or cans of fruit (no syrup), fat-free yogurt, part-skim cheese (sticks, slices, and cubes), sugar-free pudding cups, nuts (any type), whole wheat crackers or pretzels, peanut butter, baby carrots, and 100-calorie snack packs (buy them or create your own). Also, drink plenty of water and no-calorie drinks."
Will insulin make me gain weight?,"The reason we need insulin-as a hormone made in our bodies or as a medication-is to push glucose into cells for energy. Insulin's job is to process calories. For this reason, it can-but doesn't have to-cause weight gain. To prevent weight gain: Practice portion control. Burn extra calories with exercise. If your blood sugar has been high for a while prior to starting insulin, you've likely been excreting calories in your urine instead of fueling your body. This won't happen once your blood sugar is under control. If you experience hypoglycemia (low blood sugar), treat it with just 15 grams of carb."
Why is weight loss so important? What's the best way for a person with type 2 to lose weight?,"Weight loss is vital, particularly just after a diagnosis of type 2 or prediabetes. Weight loss increases insulin sensitivity, allowing cells to more effectively use the insulin the body continues to make. Losing just 10–20 pounds can accomplish a boatload of benefits. Among them are improved blood sugar, blood pressure, and cholesterol levels and possibly taking fewer medications or lower doses. To lose weight slowly and steadily, change your lifestyle. The pounds you keep off over time are the most important to living a long life."
Can I drink alcohol?,"Yes, adults with diabetes can drink alcohol and should follow the same guidelines as the general public-an average of up to one drink per day for women and up to two drinks per day for men, with no more than three or four drinks in any single day for women and men, respectively. ""Research shows moderate alcohol consumption has minimal short- or long-term effects on glucose levels in people with type 1 or 2 diabetes,"" says Marion Franz, RD, CDE, owner of Nutrition Concepts by Franz in Minneapolis."
